1:0:d=2015123100:UGRD:planetary boundary layer:3 hour fcst:
2:170573:d=2015123100:VGRD:planetary boundary layer:3 hour fcst:
3:338576:d=2015123100:var discipline=0 center=7 local_table=1 parmcat=2 parm=224:planetary boundary layer:3 hour fcst:
4:426565:d=2015123100:GUST:surface:3 hour fcst:
283:50438345:d=2015123100:TCDC:boundary layer cloud layer:0-3 hour ave fcst:
284:50574880:d=2015123100:CWORK:entire atmosphere (considered as a single layer):0-3 hour ave fcst:
285:50642063:d=2015123100:DSWRF:surface:0-3 hour ave fcst:
286:50716782:d=2015123100:DLWRF:surface:0-3 hour ave fcst:
287:50894658:d=2015123100:USWRF:surface:0-3 hour ave fcst:
288:50986232:d=2015123100:ULWRF:surface:0-3 hour ave fcst:
289:51127417:d=2015123100:USWRF:top of atmosphere:0-3 hour ave fcst:
290:51249270:d=2015123100:ULWRF:top of atmosphere:0-3 hour ave fcst:
291:51407547:d=2015123100:HLCY:3000-0 m above ground:3 hour fcst:
292:51593934:d=2015123100:USTM:6000-0 m above ground:3 hour fcst:
293:51856435:d=2015123100:VSTM:6000-0 m above ground:3 hour fcst:
294:52113981:d=2015123100:PRES:tropopause:3 hour fcst:
295:52424620:d=2015123100:ICAHT:tropopause:3 hour fcst:
296:52720304:d=2015123100:HGT:tropopause:3 hour fcst:
297:53013913:d=2015123100:TMP:tropopause:3 hour fcst:
298:53139074:d=2015123100:UGRD:tropopause:3 hour fcst:
299:53283335:d=2015123100:VGRD:tropopause:3 hour fcst:
300:53421638:d=2015123100:VWSH:tropopause:3 hour fcst:
301:53601015:d=2015123100:PRES:max wind:3 hour fcst:
302:53981745:d=2015123100:ICAHT:max wind:3 hour fcst:
303:54373254:d=2015123100:HGT:max wind:3 hour fcst:
304:54766143:d=2015123100:UGRD:max wind:3 hour fcst:
305:54929308:d=2015123100:VGRD:max wind:3 hour fcst:
306:55097479:d=2015123100:TMP:max wind:3 hour fcst:
307:55287464:d=2015123100:TMP:80 m above ground:3 hour fcst:
308:55429853:d=2015123100:SPFH:80 m above ground:3 hour fcst:
309:55623154:d=2015123100:PRES:80 m above ground:3 hour fcst:
310:55877423:d=2015123100:UGRD:80 m above ground:3 hour fcst:
