1:0:d=2016010100:UGRD:planetary boundary layer:48 hour fcst:
2:180556:d=2016010100:VGRD:planetary boundary layer:48 hour fcst:
3:359112:d=2016010100:var discipline=0 center=7 local_table=1 parmcat=2 parm=224:planetary boundary layer:48 hour fcst:
4:447804:d=2016010100:GUST:surface:48 hour fcst:
328:62342620:d=2016010100:TMP:30-0 mb above ground:48 hour fcst:
329:62490007:d=2016010100:RH:30-0 mb above ground:48 hour fcst:
330:62621079:d=2016010100:SPFH:30-0 mb above ground:48 hour fcst:
331:62925211:d=2016010100:UGRD:30-0 mb above ground:48 hour fcst:
332:63197450:d=2016010100:VGRD:30-0 mb above ground:48 hour fcst:
333:63466745:d=2016010100:4LFTX:surface:48 hour fcst:
334:63627341:d=2016010100:CAPE:180-0 mb above ground:48 hour fcst:
335:63780410:d=2016010100:CIN:180-0 mb above ground:48 hour fcst:
336:63933139:d=2016010100:HPBL:surface:48 hour fcst:
337:64329378:d=2016010100:RH:0.33-1 sigma layer:48 hour fcst:
338:64458367:d=2016010100:RH:0.44-1 sigma layer:48 hour fcst:
339:64582049:d=2016010100:RH:0.72-0.94 sigma layer:48 hour fcst:
340:64717568:d=2016010100:RH:0.44-0.72 sigma layer:48 hour fcst:
341:64850492:d=2016010100:TMP:0.995 sigma level:48 hour fcst:
342:65094396:d=2016010100:POT:0.995 sigma level:48 hour fcst:
343:65332114:d=2016010100:RH:0.995 sigma level:48 hour fcst:
344:65463411:d=2016010100:UGRD:0.995 sigma level:48 hour fcst:
345:65736117:d=2016010100:VGRD:0.995 sigma level:48 hour fcst:
346:66004107:d=2016010100:VVEL:0.995 sigma level:48 hour fcst:
347:66293367:d=2016010100:CAPE:255-0 mb above ground:48 hour fcst:
348:66431393:d=2016010100:CIN:255-0 mb above ground:48 hour fcst:
349:66571255:d=2016010100:PLPL:255-0 mb above ground:48 hour fcst:
350:66848107:d=2016010100:LAND:surface:48 hour fcst:
351:66861343:d=2016010100:ICEC:surface:48 hour fcst:
352:66887645:d=2016010100:ALBDO:surface:42-48 hour ave fcst:
